WK no.,Deaths baseline,Date,Covid deaths,Stringency index
W01,5558.5,,,
W02,5668.5,,,
W03,5878,,,
W04,5874.5,,,
W05,6011.5,,,
W06,5701,,,
W07,5667.5,,,
W08,5601.5,,,
W09,5809.5,"W09, 2020",,16.67
W10,5825,"W10, 2020",,23.41428571
W11,5589.5,"W11, 2020",,56.34571429
W12,5393,"W12, 2020",,67.85571429
W13,5193.5,"W13, 2020",92,80.28857143
W14,5243,"W14, 2020",133,87.04
W15,5165,"W15, 2020",144,87.04
W16,4778.5,"W16, 2020",153,87.04
W17,4864,"W17, 2020",172,87.04
W18,4849,"W18, 2020",171,87.04
W19,4618,"W19, 2020",165,84.65714286
W20,4712,"W20, 2020",103,76.58571429
W21,4723,"W21, 2020",79,75
W22,4748,"W22, 2020",70,69.44428571
W23,4658,"W23, 2020",64,53.7
W24,4797.5,"W24, 2020",104,52.90857143
W25,4661,"W25, 2020",92,41.67
W26,4432.5,"W26, 2020",122,41.67
W27,4712.5,"W27, 2020",147,41.27285714
W28,4518.5,"W28, 2020",137,42.59
W29,4463,"W29, 2020",155,42.59
W30,4616.5,"W30, 2020",178,42.59
W31,4590.5,"W31, 2020",262,42.59
W32,4557,"W32, 2020",294,42.59
W33,4589.5,"W33, 2020",294,42.59
W34,4593.5,"W34, 2020",305,42.59
W35,4462.5,"W35, 2020",306,42.59
W36,4288,"W36, 2020",300,44.97285714
W37,4386.5,"W37, 2020",247,44.84142857
W38,4423.5,"W38, 2020",279,43.52
W39,4671,"W39, 2020",271,43.52
W40,5010,"W40, 2020",385,43.52
W41,4902.5,"W41, 2020",427,44.70571429
W42,5045,"W42, 2020",489,45.89571429
W43,4932.5,"W43, 2020",601,54.63
W44,4942.5,"W44, 2020",776,54.63
W45,4934.5,"W45, 2020",970,58.07
W46,4845,"W46, 2020",1086,69.57857143
W47,5024.5,"W47, 2020",1116,76.85
W48,5109.5,"W48, 2020",1164,76.85
W49,5235.5,"W49, 2020",1072,76.85
W50,5350,"W50, 2020",1021,76.85
W51,5318,"W51, 2020",943,76.85
W52,5423.5,"W52, 2020",855,76.85
W01,5558.5,"W01, 2021",643,76.85
W02,5668.5,"W02, 2021",625,76.85
W03,5878,"W03, 2021",519,76.85
W04,5874.5,"W04, 2021",551,76.85
W05,6011.5,"W05, 2021",570,76.85
W06,5701,"W06, 2021",525,76.85
W07,5667.5,"W07, 2021",459,72.88142857
W08,5601.5,"W08, 2021",508,67.32714286
